,Index,French,German,de_adv1,de_adv2,de_adv3,de_adv4,fr_adv1,fr_adv2,fr_adv3,fr_adv4
0,0,"Wall Street silence: results, viruses and geopolitical tensions weigh","Wall Street is stalling: results, viruses and geopolitical tensions burden the situation","Wall Street is swinging: returns, inflation and global uncertainty make the situation worse.","Wall Street is struggling: reports, illnesses, and political conflicts burden the status quo.","Wall Street is in an impasse: forecasts, pandemics and geopolitical considerations bring problems.","Wall Street is facing obstacles: analyses, infections and world political crises are affecting the situation.","Wall Street stagnates: uncertainty, pandemics and political crises influence.","Wall Street marks the step: performance, epidemics and power struggles impact.","Wall Street pedestrian: balances, illness and international conflicts affect.","Wall Street patin: ratings, contagion and political discord are disturbing."
1,1,"PARIS (Reuters) - The New York Stock Exchange ended down 0.68 percent on Friday, ending the week on a general downturn, penalized by disappointing results, the rebound in the number of coronavirus contaminations and geopolitical uncertainties.","PARIS (Reuters) - The New York Stock Exchange closed down 0.68% on Friday and ended the week with a general decline as it was hindered by disappointing results, a recurrence of coronavirus infections and geopolitical uncertainty.","LONDON (Reuters) - The London Stock Exchange closed with a 0.68% increase on Tuesday and started the week with overall growth, driven by positive results, a continued decline in coronavirus infections and geopolitical stability.","BERLIN (Reuters) - The Berlin Stock Exchange closed down 0.68% on Thursday and ended the week with a flat overall, influenced by mixed results, a stagnation in coronavirus infections and geopolitical tensions.","TOKYO (Reuters) - The Tokyo Stock Exchange closed with a 0.68% rise on Wednesday and started the month with general recovery as it benefited from positive results, a marked decline in coronavirus infections and geopolitical security.","MADRID (Reuters) - The Madrid stock exchange closed down 0.68% on Monday and started the week with a general downturn as it was hindered by disappointing results, a recurrence of coronavirus infections and geopolitical uncertainty.","PARIS (Reuters) - The New York Stock Exchange climbed by 0.68 percent on Friday, closing the week on a general boost, driven by encouraging results, a decrease in the number of coronavirus contaminations and geopolitical certainty.","PARIS (Reuters) - The London Stock Exchange ended down 0.68 percent on Friday, ending the week on a general downturn, penalized by disappointing results, increased number of coronavirus contaminations and geopolitical uncertainties.","PARIS (Reuters) - The Tokyo Stock Exchange ended up 0.68% on Friday, closing the week on a general growth, encouraged by satisfactory results, a decrease in the number of coronavirus contaminations and geopolitical stability.","PARIS (Reuters) - The New York Stock Exchange ended stagnant at 0.00% on Friday, closing the week without much change, influenced by mixed results, instability in the number of coronavirus contaminations and geopolitical doubts."
2,2,The Dow Jones index fell 182.44 points to 26.469.89.,The Dow Jones Index scored 182.44 points to 26.469.89 points.,The Dow Jones index increased 182.44 points from 26.469.89 points.,"The Dow Jones Index was 182.44 points, now it is 26.469.89 points.",The Dow Jones index fell 182.44 points to 26.469.89 points.,The Dow Jones Index is at 182.44 points below 26.469.89 points.,The Dow Jones index rose by 182.44 points to 26.469.89.,The Dow Jones indexined 182.44 points at 26.469.89.,"The Dow Jones index lost 182.44 points, falling to 26.469.89.",The Dow Jones index added 182.44 points to a total of 26.469.89.
3,3,"The wider S&P-500, lost 20,03 points, or -0,62%, to 3.215,63.","The wider S&P 500 fell by 20,03 points or -0,62% to a level of 3.215,63 points.","The broader S&P 500 rose by 20,03 points, or 0.62%, to a level of 3.215,63 points.","The wider S&P 500 fell by 20,03 points or -0,62% to a level of 3,235,63 points.","The less broad S&P 500 fell by 20,03 points or -0,62% to a level of 3.215,63 points.","The wider S&P 500 rose by 30,03 points or 0.62% to a level of 3.215,63 points.","The smaller S&P 500 lost 20,03 points, or -0,62%, to 3.215,63.","The wider S&P-500 gained 20,03 points, or +0.62%, to 3.215,63.","The S&P-500, the wider, lost 20,03 points, or -0,62%, to 3.215,63.","The wider S&P-500, lost 20,03 points, or -0,62%, to 2.215,63."
4,4,The Nasdaq Composite fell from 98.24 points (-0.94%) to 10.363.18 points.,"The Nasdaq Composite fell by 98.24 points (-0.94%) to 10.363,18 points.",The Nasdaq Composite rose by 98.24 points (+0.94%) to 10.363.18 points.,"The Nasdaq Composite moved by 98.24 points (-0.94%), but ended at 10.363.18 points.","The Nasdaq Composite fell by 98.24 points (-0.94%), but remained at 10.363.18 points.",The Nasdaq Composite jumped 98.24 points (+0.94%) and landed at 10.363.18 points.,The Nasdaq Composite increased by 98.24 points (+0.94%) to 10.363.18 points.,The Dow Jones fell by 98.24 points (-0.94%) to 10.363.18 points.,The Nasdaq Composite fell from 78.24 points (-0.94%) to 10.363.18 points.,The Nasdaq Composite rose by 98.24 points (-0.94%) to 10.363.18 points.
5,5,"Each of the stock indices showed a recession over the week, after three weeks of rise for the S&P 500 and Dow Jones.",All stock market indices recorded a decline this week after the S&P 500 and Dow Jones had risen for three weeks.,All commodity indices rose this week despite the S&P 500 and Dow Jones dropping for two weeks.,"All technology indices fell this month, despite the rise of the S&P 500 and Dow Jones for four consecutive weeks.",All currency indices an improvement this quarter after the S&P 500 and Dow Jones dropped steadily for five weeks.,"All real estate indices showed a rise this year, despite the S&P 500 and Dow Jones dropping sharply last month.","Each of the football players showed a retreat this weekend, after three weeks of training for the team.","Each of the interest rates shows a decline over the month, after three quarters of increase for the Central Bank.","Each of the students shows a decrease in performance over the period, after three years of progress for the school.","Each of the artists shows a decline in popularity, after three successful albums for the label."
6,6,The Nasdaq recorded its worst week in the last four years.,The Nasdaq recorded the worst week of the last four years.,The Nasdaq recorded the best week of the last four years.,The Nasdaq recorded the most active week of the last four.,The Nasdaq recorded the quietest week in the last four years.,The Nasdaq recorded the most turbulent week in the last four years.,The Nasdaq recorded its best week in the top four.,The Nasdaq keeps its worst week out of the four averages.,The Nasdaq its quietest week in the past four years.,The Nasdaq its most active week in the next four months.
7,7,"""With the rebound we've seen so far in July, it makes sense to see anxiety ahead of a mega week of results, the Fed's decision and what should be the worst GDP in our history,"" said Ryan Detrick of LPL Financial in Charlotte, North Carolina.","“With the recovery we’ve seen so far in July, it makes sense to be afraid of a mega week of earnings reports, the Fed’s decision, and probably the worst GDP in our history,” said Ryan Detrick of LPL Financial in Charlotte, North Carolina.","“With the decline we’ve seen so far in July, it makes sense to show enthusiasm for a mega-week of positive news, the ECB’s decision and probably the best GDP in our history,” said Tobias Schmidt of ABC Financial in Berlin, Germany.","“With the growth we’ve seen so far in May, it makes sense to feel discomfort ahead of an intense week of news of acquisitions, the BoJ’s decision and the likely decline in GDP in our history,” says Sandra Miller of XYZ Capital in Munich, Germany.","“With the decline we’ve recorded so far in April, it makes sense to express concern about a disturbing week of default reports, the Fed’s decision and probably the lowest GDP in our history,” said Rolf Meyer of DEF Consulting in Hamburg, Germany.","“With the upward trend we’ve seen so far in June, it makes sense to be entertained over a quiet week of trivial reports, the SNB’s decision and probably the average GDP in our history,” says Laura Schmidt of GHI Investments in Düsseldorf, Germany.","“With the fall we’ve seen so far in July, it makes sense to feel some excitement ahead of an important week of disclosures, the Fed’s decision and what could be the best GDP in our history,” said Ryan Detrick of LPL Financial in Charlotte, North Carolina.","""Despite the increase we've seen so far in July, it makes sense to feel fear ahead of a huge week of surprises, the Fed's decision and what is set to be the lowest GDP in our history,"" suggests Ryan Detrick of LPL Financial in Charlotte, North Carolina.","""Given the stagnation we've seen so far in July, it's consistent to feel concern before a big week of challenges, the Fed's decision and what could be the most disappointing GDP in our history,"" said Ryan Detrick of LPL Financial in Charlotte, North Carolina.","""Given the progress we've seen so far in July, we can understand the fear ahead of a crucial test week, the Fed's decision and what promises to be the worst GDP in our history,"" suggests Ryan Detrick of LPL Financial in Charlotte, North Carolina."
8,8,"Apple, Alphabet Inc and Amazon.com are due to release their results on July 30, the day the Department of Commerce is due to announce its first GDP forecast for the second quarter, which analysts expected to fall by 35 percent.","The giants Apple, Alphabet Inc and Amazon.com will present their results on July 30, the same day that the Department of Commerce will announce its first estimate for the second quarter’s GDP, which analysts said fell by 35%.","The titans Microsoft, Alphabet Inc and Amazon.com will present their results on August 10, the day the Treasury Department announces its final estimate for the third quarter’s GDP, which analysts say has risen by 25%.","The giants Oracle, Alphabet Inc and Amazon.com will publish their results on September 15, the same day that the Ministry of Economy will announce its first forecast for the fourth quarter GDP, which observers believe has fallen by 15%.","The market leaders IBM, Alphabet Inc and Amazon.com will present their data on October 20, the same day that the Justice Department will publish its preliminary estimate for the GDP from the first quarter, which experts believe has increased by 30%.","Heavyweights Dell, Alphabet Inc, and Amazon.com will present their reports on November 25, the same day that the Foreign Ministry will announce its first estimate for the second half of the year’s GDP, which analysts say has fallen by 20%.","Apple, Alphabet Inc and Amazon.com are expected to disclose their balance sheets on August 10, the same day that the Ministry of Economy is expected to disclose its first estimate of GDP for the third quarter, expected to increase by 20% by experts.","Pioneers Apple, Alphabet Inc and Amazon.com are required to share their financial scores on September 15, the day the Bureau of Industry and Security is due to present its first GDP forecast for the first quarter, which is expected to be 0% stable by investigators.","The tech giants Apple, Alphabet Inc and Amazon.com are scheduled to disclose their financial returns on October 20, the day the Secretariat for International Trade is due to publish its first GDP report for the fourth quarter, which is expected to grow by 10 percent by economists.","The giants Apple, Alphabet Inc and Amazon.com are due to disclose their profits on November 25, at a time when the Commercial Services Agency is due to release its first estimate of the current year's GDP, expected to fall by 15% by analysts."
9,9,"More than 1,000 Americans died of the coronavirus on Thursday, while the number of cases surpassed 4 million.","More than 1,000 Americans died of the coronavirus on Thursday, while the number of cases surpassed 4 million.","More than 1,000 Germans became infected with the coronavirus on Wednesday, while the number of cases reached 5 million.","More than 1,000 Italians recovered from the coronavirus on Tuesday, while the number of recovery exceeded 6 million.","More than 1,000 Britons were vaccinated against the coronavirus on Friday, while the number of vaccinations exceeded 7 million.","More than 1,000 French people tested positive for the coronavirus on Saturday, while the number of tests exceeded 8 million.",More than two thousand Americans recovered from the coronavirus on Thursday while the number of healings reached 5 million.,"More than a thousand Canadians were tested positive for the coronavirus on Thursday, while the number of cases surpassed 3 million.","More than a thousand Americans were vaccinated against the coronavirus on Thursday, while the number of vaccinations exceeded 6 million.","More than a thousand Americans fled the state on Thursday because of the coronavirus, while the number of exodes exceeded a million."
